"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2019,"Huesca","La Liga","opponent",30,38,86,4,3,466,553,109,692,374,399,8,7,0,2043,762,740,50.7,"https://fbref.com/en/squads/c6c493e6/2018-2019/Huesca-Stats"
2019,"Inter","Serie A","team",23,38,73,3,2,468,488,64,1092,311,409,5,5,3,1995,519,589,46.8,"https://fbref.com/en/squads/d609edc0/2018-2019/Internazionale-Stats"
2019,"Inter","Serie A","opponent",23,38,99,5,2,516,438,62,627,434,341,3,9,0,1869,589,519,53.2,"https://fbref.com/en/squads/d609edc0/2018-2019/Internazionale-Stats"
2019,"Juventus","Serie A","team",31,38,76,4,2,471,469,75,867,396,355,5,4,1,1946,534,469,53.2,"https://fbref.com/en/squads/e0652b02/2018-2019/Juventus-Stats"
2019,"Juventus","Serie A","opponent",31,38,95,3,1,501,443,35,655,362,372,1,8,4,1784,469,534,46.8,"https://fbref.com/en/squads/e0652b02/2018-2019/Juventus-Stats"
2019,"Lazio","Serie A","team",30,38,89,4,1,502,391,97,738,432,406,3,6,3,2112,612,539,53.2,"https://fbref.com/en/squads/7213da33/2018-2019/Lazio-Stats"
2019,"Lazio","Serie A","opponent",30,38,86,4,3,415,488,46,683,439,377,6,6,2,2007,539,612,46.8,"https://fbref.com/en/squads/7213da33/2018-2019/Lazio-Stats"
2019,"Leganés","La Liga","team",29,38,104,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,55.9,"https://fbref.com/en/squads/7c6f2c78/2018-2019/Leganes-Stats"
2019,"Leganés","La Liga","opponent",29,38,90,3,1,428,515,58,737,351,342,3,5,1,1896,721,914,44.1,"https://fbref.com/en/squads/7c6f2c78/2018-2019/Leganes-Stats"
2019,"Leicester City","Premier League","team",25,38,60,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4,"https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats"
2019,"Leicester City","Premier League","opponent",25,38,70,6,3,401,334,88,698,480,378,3,7,3,2095,679,811,45.6,"https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats"
2019,"Levante","La Liga","team",26,38,107,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,45.1,"https://fbref.com/en/squads/9800b6a1/2018-2019/Levante-Stats"
2019,"Levante","La Liga","opponent",26,38,92,7,3,511,474,72,747,397,480,7,7,3,2046,571,469,54.9,"https://fbref.com/en/squads/9800b6a1/2018-2019/Levante-Stats"
2019,"Leverkusen","Bundesliga","team",21,34,50,1,0,367,383,65,633,358,368,3,6,3,2020,541,554,49.4,"https://fbref.com/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats"
2019,"Leverkusen","Bundesliga","opponent",21,34,70,2,1,411,347,75,520,490,379,4,5,1,1906,554,541,50.6,"https://fbref.com/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats"
2019,"Lille","Ligue 1","team",25,38,70,4,1,479,510,39,575,387,378,10,10,0,2018,564,575,49.5,"https://fbref.com/en/squads/cb188c0c/2018-2019/Lille-Stats"
2019,"Lille","Ligue 1","opponent",25,38,76,8,1,540,458,82,674,467,465,9,13,2,1969,574,565,50.4,"https://fbref.com/en/squads/cb188c0c/2018-2019/Lille-Stats"
2019,"Liverpool","Premier League","team",23,38,39,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3,"https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats"
2019,"Liverpool","Premier League","opponent",23,38,48,1,0,367,297,124,472,499,412,1,7,3,2013,587,593,49.7,"https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats"
2019,"Lyon","Ligue 1","team",25,38,55,3,2,443,469,94,684,363,384,9,5,3,2028,612,513,54.4,"https://fbref.com/en/squads/d53c0b06/2018-2019/Lyon-Stats"
2019,"Lyon","Ligue 1","opponent",25,38,70,10,1,495,423,47,565,517,426,3,10,0,1897,513,612,45.6,"https://fbref.com/en/squads/d53c0b06/2018-2019/Lyon-Stats"
2019,"M'Gladbach","Bundesliga","team",22,34,43,0,0,333,357,70,565,310,292,5,3,0,1680,426,549,43.7,"https://fbref.com/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats"
2019,"M'Gladbach","Bundesliga","opponent",22,34,59,2,1,375,309,76,581,370,318,3,7,2,1677,548,427,56.2,"https://fbref.com/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats"
2019,"Mainz 05","Bundesliga","team",28,34,56,0,0,430,359,83,646,395,309,3,4,0,1843,658,627,51.2,"https://fbref.com/en/squads/a224b06a/2018-2019/Mainz-05-Stats"
2019,"Mainz 05","Bundesliga","opponent",28,34,49,2,2,384,405,55,638,351,397,0,3,2,1863,627,658,48.8,"https://fbref.com/en/squads/a224b06a/2018-2019/Mainz-05-Stats"
2019,"Manchester City","Premier League","team",21,38,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8,"https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats"
2019,"Manchester City","Premier League","opponent",21,38,54,2,0,310,311,62,359,448,379,4,4,4,1679,522,540,49.2,"https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats"
2019,"Manchester Utd","Premier League","team",28,38,75,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5,"https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats"
2019,"Manchester Utd","Premier League","opponent",28,38,67,1,1,409,411,72,662,442,385,5,12,0,2020,550,687,44.5,"https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats"
2019,"Marseille","Ligue 1","team",24,38,82,8,1,501,455,46,827,401,489,2,12,0,1949,695,622,52.8,"https://fbref.com/en/squads/5725cc7b/2018-2019/Marseille-Stats"
2019,"Marseille","Ligue 1","opponent",24,38,69,3,1,485,480,63,517,440,417,10,5,1,1852,622,695,47.2,"https://fbref.com/en/squads/5725cc7b/2018-2019/Marseille-Stats"
2019,"Milan","Serie A","team",23,38,80,5,2,445,478,63,752,373,382,2,5,1,1899,480,512,48.4,"https://fbref.com/en/squads/dc56fe14/2018-2019/Milan-Stats"
2019,"Milan","Serie A","opponent",23,38,69,5,2,498,421,65,753,428,382,5,4,4,1923,512,480,51.6,"https://fbref.com/en/squads/dc56fe14/2018-2019/Milan-Stats"
2019,"Monaco","Ligue 1","team",42,38,91,6,1,528,505,55,748,386,422,5,8,2,1941,611,594,50.7,"https://fbref.com/en/squads/fd6114db/2018-2019/Monaco-Stats"
2019,"Monaco","Ligue 1","opponent",42,38,68,4,0,533,502,74,634,449,379,7,5,0,1987,594,611,49.3,"https://fbref.com/en/squads/fd6114db/2018-2019/Monaco-Stats"
2019,"Montpellier","Ligue 1","team",25,38,60,4,1,537,478,58,749,484,431,2,5,2,2061,729,741,49.6,"https://fbref.com/en/squads/281b0e73/2018-2019/Montpellier-Stats"
2019,"Montpellier","Ligue 1","opponent",25,38,65,5,2,515,510,45,655,409,410,3,3,3,2022,741,729,50.4,"https://fbref.com/en/squads/281b0e73/2018-2019/Montpellier-Stats"
2019,"Nantes","Ligue 1","team",33,38,72,6,3,493,496,77,725,435,478,7,8,0,2173,767,685,52.8,"https://fbref.com/en/squads/d7a486cd/2018-2019/Nantes-Stats"
2019,"Nantes","Ligue 1","opponent",33,38,79,4,1,518,469,59,630,494,400,7,8,2,2089,685,767,47.2,"https://fbref.com/en/squads/d7a486cd/2018-2019/Nantes-Stats"
2019,"Napoli","Serie A","team",26,38,72,5,3,410,414,85,774,358,359,0,4,0,2171,386,440,46.7,"https://fbref.com/en/squads/d48ad4ff/2018-2019/Napoli-Stats"
2019,"Napoli","Serie A","opponent",26,38,86,5,2,452,392,61,601,442,347,4,4,1,1965,440,386,53.3,"https://fbref.com/en/squads/d48ad4ff/2018-2019/Napoli-Stats"
2019,"Newcastle Utd","Premier League","team",24,38,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2,"https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats"
2019,"Newcastle Utd","Premier League","opponent",24,38,58,1,0,349,410,63,834,351,367,5,3,1,2080,914,785,53.8,"https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats"
2019,"Nice","Ligue 1","team",30,38,72,5,1,425,518,40,495,450,420,7,6,1,1957,516,502,50.7,"https://fbref.com/en/squads/132ebc33/2018-2019/Nice-Stats"
2019,"Nice","Ligue 1","opponent",30,38,66,6,3,550,399,84,734,400,483,6,9,2,2071,502,516,49.3,"https://fbref.com/en/squads/132ebc33/2018-2019/Nice-Stats"
2019,"Nîmes","Ligue 1","team",23,38,69,5,2,487,494,40,736,443,442,3,5,1,2030,693,828,45.6,"https://fbref.com/en/squads/1cbf5f9e/2018-2019/Nimes-Stats"
2019,"Nîmes","Ligue 1","opponent",23,38,86,7,3,522,466,74,625,398,447,5,6,2,2033,828,693,54.4,"https://fbref.com/en/squads/1cbf5f9e/2018-2019/Nimes-Stats"
2019,"Nürnberg","Bundesliga","team",27,34,58,4,1,394,381,53,495,354,350,5,4,2,1646,621,669,48.1,"https://fbref.com/en/squads/6f2c108c/2018-2019/Nurnberg-Stats"
2019,"Nürnberg","Bundesliga","opponent",27,34,56,1,0,404,371,41,766,358,317,3,6,1,1794,669,621,51.9,"https://fbref.com/en/squads/6f2c108c/2018-2019/Nurnberg-Stats"
2019,"Paris S-G","Ligue 1","team",30,38,64,4,0,474,444,92,588,342,434,10,6,4,2060,402,336,54.5,"https://fbref.com/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats"
2019,"Paris S-G","Ligue 1","opponent",30,38,53,5,3,463,450,52,536,493,482,4,12,2,1876,336,402,45.5,"https://fbref.com/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats"
2019,"Parma","Serie A","team",31,38,82,3,2,493,433,91,511,399,351,5,8,5,1785,561,615,47.7,"https://fbref.com/en/squads/eab4234c/2018-2019/Parma-Stats"
2019,"Parma","Serie A","opponent",31,38,84,4,3,453,465,42,1091,338,408,4,5,1,2037,615,561,52.3,"https://fbref.com/en/squads/eab4234c/2018-2019/Parma-Stats"
2019,"RB Leipzig","Bundesliga","team",23,34,61,1,0,465,393,87,616,416,398,3,6,1,1998,743,603,55.2,"https://fbref.com/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats"
2019,"RB Leipzig","Bundesliga","opponent",23,34,58,2,1,415,440,131,497,496,381,5,7,0,1957,603,743,44.8,"https://fbref.com/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats"
2019,"Rayo Vallecano","La Liga","team",29,38,101,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,47.7,"https://fbref.com/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats"
2019,"Rayo Vallecano","La Liga","opponent",29,38,73,3,1,481,536,140,722,371,491,9,5,1,2047,587,535,52.3,"https://fbref.com/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats"
2019,"Real Madrid","La Liga","team",27,38,79,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,52.5,"https://fbref.com/en/squads/53a2f082/2018-2019/Real-Madrid-Stats"
2019,"Real Madrid","La Liga","opponent",27,38,93,3,3,568,417,91,533,449,397,5,9,2,1929,434,479,47.5,"https://fbref.com/en/squads/53a2f082/2018-2019/Real-Madrid-Stats"
2019,"Real Sociedad","La Liga","team",30,38,80,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,51.8,"https://fbref.com/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats"
2019,"Real Sociedad","La Liga","opponent",30,38,107,3,2,570,463,73,743,390,478,3,10,1,2060,651,699,48.2,"https://fbref.com/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats"
2019,"Reims","Ligue 1","team",27,38,67,2,0,532,467,79,633,486,454,2,7,2,2029,647,718,47.4,"https://fbref.com/en/squads/7fdd64e0/2018-2019/Reims-Stats"
2019,"Reims","Ligue 1","opponent",27,38,54,5,3,494,501,38,829,412,384,4,2,0,2022,718,647,52.6,"https://fbref.com/en/squads/7fdd64e0/2018-2019/Reims-Stats"
2019,"Rennes","Ligue 1","team",28,38,68,3,2,490,486,61,663,389,395,9,5,1,2032,625,560,52.7,"https://fbref.com/en/squads/b3072e00/2018-2019/Rennes-Stats"
2019,"Rennes","Ligue 1","opponent",28,38,84,7,2,506,457,40,681,389,441,3,10,3,1918,560,625,47.3,"https://fbref.com/en/squads/b3072e00/2018-2019/Rennes-Stats"
2019,"Roma","Serie A","team",26,38,88,2,2,461,395,50,855,419,344,5,7,1,1954,727,547,57.1,"https://fbref.com/en/squads/cf74a709/2018-2019/Roma-Stats"
2019,"Roma","Serie A","opponent",26,38,70,3,1,418,438,125,730,393,403,6,6,1,1938,547,727,42.9,"https://fbref.com/en/squads/cf74a709/2018-2019/Roma-Stats"
2019,"SPAL","Serie A","team",28,38,112,3,1,499,550,37,863,388,374,7,5,0,1772,569,577,49.7,"https://fbref.com/en/squads/1d2fe027/2018-2019/SPAL-Stats"
2019,"SPAL","Serie A","opponent",28,38,106,5,3,595,477,101,697,342,406,5,8,0,1879,577,569,50.3,"https://fbref.com/en/squads/1d2fe027/2018-2019/SPAL-Stats"
2019,"Saint-Étienne","Ligue 1","team",29,38,63,7,4,454,456,60,770,441,406,4,9,1,1948,609,643,48.6,"https://fbref.com/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats"
2019,"Saint-Étienne","Ligue 1","opponent",29,38,70,5,0,484,430,69,631,451,406,5,5,3,1936,643,609,51.4,"https://fbref.com/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats"
2019,"Sampdoria","Serie A","team",24,38,89,3,3,493,510,70,641,364,425,7,8,1,2030,471,522,47.4,"https://fbref.com/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats"
2019,"Sampdoria","Serie A","opponent",24,38,92,5,2,536,470,122,769,508,386,5,12,0,2072,522,471,52.6,"https://fbref.com/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats"
2019,"Sassuolo","Serie A","team",29,38,87,8,3,528,528,73,660,378,328,4,8,2,1864,464,510,47.6,"https://fbref.com/en/squads/e2befd26/2018-2019/Sassuolo-Stats"
2019,"Sassuolo","Serie A","opponent",29,38,85,4,3,549,502,103,776,409,396,5,5,3,1849,510,464,52.4,"https://fbref.com/en/squads/e2befd26/2018-2019/Sassuolo-Stats"
2019,"Schalke 04","Bundesliga","team",32,34,72,5,1,454,397,79,521,419,381,7,6,1,1886,600,559,51.8,"https://fbref.com/en/squads/c539e393/2018-2019/Schalke-04-Stats"
2019,"Schalke 04","Bundesliga","opponent",32,34,66,4,2,432,424,44,539,392,383,3,9,0,1822,559,600,48.2,"https://fbref.com/en/squads/c539e393/2018-2019/Schalke-04-Stats"
2019,"Sevilla","La Liga","team",27,38,114,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,47.3,"https://fbref.com/en/squads/ad2be733/2018-2019/Sevilla-Stats"
2019,"Sevilla","La Liga","opponent",27,38,99,3,2,494,513,93,662,444,396,4,6,2,1912,724,651,52.7,"https://fbref.com/en/squads/ad2be733/2018-2019/Sevilla-Stats"
2019,"Southampton","Premier League","team",30,38,73,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8,"https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats"
2019,"Southampton","Premier League","opponent",30,38,62,1,1,352,403,88,710,377,348,2,5,1,2035,873,767,53.2,"https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats"
2019,"Strasbourg","Ligue 1","team",26,38,70,4,1,512,404,43,719,428,405,5,9,1,1940,631,615,50.6,"https://fbref.com/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats"
2019,"Strasbourg","Ligue 1","opponent",26,38,64,6,0,430,482,49,706,390,387,8,7,1,1962,615,631,49.4,"https://fbref.com/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats"
2019,"Stuttgart","Bundesliga","team",26,34,64,5,2,374,399,67,727,399,362,0,3,4,1720,723,691,51.1,"https://fbref.com/en/squads/598bc722/2018-2019/Stuttgart-Stats"
2019,"Stuttgart","Bundesliga","opponent",26,34,55,2,2,429,348,69,657,358,282,3,1,0,1779,691,723,48.9,"https://fbref.com/en/squads/598bc722/2018-2019/Stuttgart-Stats"
2019,"Torino","Serie A","team",25,38,88,4,1,617,570,75,751,451,394,5,5,0,2193,824,838,49.6,"https://fbref.com/en/squads/105360fe/2018-2019/Torino-Stats"
2019,"Torino","Serie A","opponent",25,38,110,10,6,599,581,56,746,373,438,4,6,2,1994,838,824,50.4,"https://fbref.com/en/squads/105360fe/2018-2019/Torino-Stats"
2019,"Tottenham","Premier League","team",28,38,57,3,1,376,364,74,643,325,373,3,5,3,2107,599,611,49.5,"https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats"
2019,"Tottenham","Premier League","opponent",28,38,61,2,0,386,361,107,662,504,383,4,4,1,2082,611,599,50.5,"https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats"
2019,"Toulouse","Ligue 1","team",29,38,75,5,2,558,468,69,629,384,418,8,6,1,2024,712,653,52.2,"https://fbref.com/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats"
2019,"Toulouse","Ligue 1","opponent",29,38,73,3,1,499,531,70,798,419,438,5,11,0,2123,653,712,47.8,"https://fbref.com/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats"
2019,"Udinese","Serie A","team",31,38,90,4,2,505,469,66,585,381,387,7,9,1,1833,693,662,51.1,"https://fbref.com/en/squads/04eea015/2018-2019/Udinese-Stats"
2019,"Udinese","Serie A","opponent",31,38,89,2,1,498,481,35,959,342,372,6,8,2,1945,662,693,48.9,"https://fbref.com/en/squads/04eea015/2018-2019/Udinese-Stats"
2019,"Valencia","La Liga","team",25,38,88,3,2,463,514,75,715,418,384,6,8,2,2016,596,621,49,"https://fbref.com/en/squads/dcc91a7b/2018-2019/Valencia-Stats"
2019,"Valencia","La Liga","opponent",25,38,113,4,4,540,432,70,781,448,377,4,7,1,2026,621,596,51,"https://fbref.com/en/squads/dcc91a7b/2018-2019/Valencia-Stats"
2019,"Valladolid","La Liga","team",28,38,92,0,0,521,521,96,804,387,441,6,9,1,1967,595,854,41.1,"https://fbref.com/en/squads/17859612/2018-2019/Valladolid-Stats"
2019,"Valladolid","La Liga","opponent",28,38,106,5,5,561,490,65,801,395,347,6,7,1,2050,854,595,58.9,"https://fbref.com/en/squads/17859612/2018-2019/Valladolid-Stats"
2019,"Villarreal","La Liga","team",26,38,115,3,3,518,412,95,618,390,413,3,5,3,1914,613,629,49.4,"https://fbref.com/en/squads/2a8183b3/2018-2019/Villarreal-Stats"
2019,"Villarreal","La Liga","opponent",26,38,84,2,0,443,495,87,820,439,359,4,6,2,1948,629,613,50.6,"https://fbref.com/en/squads/2a8183b3/2018-2019/Villarreal-Stats"
2019,"Watford","Premier League","team",25,38,79,4,1,433,382,89,570,428,391,1,5,3,2021,753,797,48.6,"https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats"
2019,"Watford","Premier League","opponent",25,38,50,3,3,403,423,115,741,451,392,5,1,1,2154,797,753,51.4,"https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats"
2019,"Werder Bremen","Bundesliga","team",24,34,61,3,3,437,346,40,676,407,344,4,5,0,1825,605,662,47.8,"https://fbref.com/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats"
2019,"Werder Bremen","Bundesliga","opponent",24,34,57,1,0,364,406,103,631,416,324,1,4,1,1875,661,606,52.2,"https://fbref.com/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats"
2019,"West Ham","Premier League","team",26,38,59,1,0,331,388,71,631,457,393,5,5,1,2104,636,620,50.6,"https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats"
2019,"West Ham","Premier League","opponent",26,38,57,1,0,401,319,125,711,409,414,5,6,1,2209,620,636,49.4,"https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats"
2019,"Wolfsburg","Bundesliga","team",25,34,62,0,0,358,439,67,682,426,343,3,6,0,1813,610,573,51.6,"https://fbref.com/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats"
2019,"Wolfsburg","Bundesliga","opponent",25,34,67,2,1,464,334,44,680,393,321,6,5,3,1790,573,610,48.4,"https://fbref.com/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats"
2019,"Wolves","Premier League","team",21,38,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5,"https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats"
2019,"Wolves","Premier League","opponent",21,38,76,4,1,334,393,48,654,387,410,4,4,1,2071,788,803,49.5,"https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats"
2020,"Alavés","La Liga","team",32,38,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,56,"https://fbref.com/en/squads/8d6fd021/2019-2020/Alaves-Stats"
2020,"Alavés","La Liga","opponent",32,38,87,3,2,472,573,92,695,329,347,7,6,0,1939,712,905,44,"https://fbref.com/en/squads/8d6fd021/2019-2020/Alaves-Stats"
2020,"Amiens","Ligue 1","team",27,28,57,4,2,403,320,37,463,300,238,5,1,1,1543,470,551,46,"https://fbref.com/en/squads/25622401/2019-2020/Amiens-Stats"
2020,"Amiens","Ligue 1","opponent",27,28,43,1,0,349,378,23,558,338,326,1,5,1,1659,551,470,54,"https://fbref.com/en/squads/25622401/2019-2020/Amiens-Stats"
2020,"Angers","Ligue 1","team",26,28,42,2,1,336,315,28,550,267,279,1,3,0,1511,449,455,49.7,"https://fbref.com/en/squads/69236f98/2019-2020/Angers-Stats"
2020,"Angers","Ligue 1","opponent",26,28,47,0,0,345,307,28,471,301,320,2,1,1,1558,455,449,50.3,"https://fbref.com/en/squads/69236f98/2019-2020/Angers-Stats"
2020,"Arsenal","Premier League","team",29,38,88,5,1,421,437,73,699,351,336,2,8,0,1861,501,589,46,"https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats"
2020,"Arsenal","Premier League","opponent",29,38,79,1,0,459,408,52,784,425,388,8,3,0,1898,589,501,54,"https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats"
2020,"Aston Villa","Premier League","team",28,38,70,1,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7,"https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats"
2020,"Aston Villa","Premier League","opponent",28,38,90,7,6,543,431,43,857,346,315,5,3,1,1905,742,705,51.3,"https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats"
2020,"Atalanta","Serie A","team",30,38,80,2,1,534,518,50,767,418,351,9,6,3,2145,624,500,55.5,"https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats"
2020,"Atalanta","Serie A","opponent",30,38,106,7,5,557,495,59,468,439,351,4,10,2,1990,500,624,44.5,"https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats"
2020,"Athletic Club","La Liga","team",26,38,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,57.2,"https://fbref.com/en/squads/2b390eca/2019-2020/Athletic-Club-Stats"
2020,"Athletic Club","La Liga","opponent",26,38,89,0,0,475,491,71,737,327,313,6,10,1,1861,683,912,42.8,"https://fbref.com/en/squads/2b390eca/2019-2020/Athletic-Club-Stats"
2020,"Atlético Madrid","La Liga","team",30,38,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,53.4,"https://fbref.com/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats"
2020,"Atlético Madrid","La Liga","opponent",30,38,113,4,1,506,474,34,728,384,355,3,8,1,1869,723,827,46.6,"https://fbref.com/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats"
2020,"Augsburg","Bundesliga","team",28,34,68,2,2,378,384,81,479,434,314,4,1,3,1765,545,612,47.1,"https://fbref.com/en/squads/0cdc4311/2019-2020/Augsburg-Stats"
2020,"Augsburg","Bundesliga","opponent",28,34,64,3,1,405,353,70,706,312,329,1,5,0,1756,612,545,52.9,"https://fbref.com/en/squads/0cdc4311/2019-2020/Augsburg-Stats"
2020,"Barcelona","La Liga","team",28,38,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,55.6,"https://fbref.com/en/squads/206d90db/2019-2020/Barcelona-Stats"
2020,"Barcelona","La Liga","opponent",28,38,89,4,2,563,387,68,560,525,361,4,6,2,1824,364,455,44.4,"https://fbref.com/en/squads/206d90db/2019-2020/Barcelona-Stats"
2020,"Bayern Munich","Bundesliga","team",29,34,54,3,2,322,355,78,850,342,293,6,4,1,2048,478,403,54.3,"https://fbref.com/en/squads/054efa67/2019-2020/Bayern-Munich-Stats"
2020,"Bayern Munich","Bundesliga","opponent",29,34,57,3,1,377,309,91,426,468,351,3,6,3,1775,403,478,45.7,"https://fbref.com/en/squads/054efa67/2019-2020/Bayern-Munich-Stats"
2020,"Betis","La Liga","team",27,38,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,50.9,"https://fbref.com/en/squads/fc536746/2019-2020/Real-Betis-Stats"
2020,"Betis","La Liga","opponent",27,38,111,5,3,610,430,125,708,364,374,8,8,0,1723,558,579,49.1,"https://fbref.com/en/squads/fc536746/2019-2020/Real-Betis-Stats"
2020,"Bologna","Serie A","team",31,38,109,7,3,595,567,85,733,412,338,6,8,1,1903,644,666,49.2,"https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats"
2020,"Bologna","Serie A","opponent",31,38,104,7,5,602,558,57,664,392,354,8,6,4,1906,666,644,50.8,"https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats"
2020,"Bordeaux","Ligue 1","team",26,28,55,0,0,379,361,40,425,302,284,1,3,1,1562,487,445,52.3,"https://fbref.com/en/squads/123f3efe/2019-2020/Bordeaux-Stats"
2020,"Bordeaux","Ligue 1","opponent",26,28,65,8,5,377,353,37,563,308,316,3,2,0,1620,445,487,47.7,"https://fbref.com/en/squads/123f3efe/2019-2020/Bordeaux-Stats"
2020,"Bournemouth","Premier League","team",27,38,78,3,2,369,388,67,646,475,299,2,6,0,1979,792,835,48.7,"https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats"
2020,"Bournemouth","Premier League","opponent",27,38,67,3,0,410,347,71,812,402,389,2,4,2,2047,835,792,51.3,"https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats"
2020,"Brescia","Serie A","team",32,38,95,6,3,504,583,68,641,361,273,3,11,3,1768,498,602,45.3,"https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats"
2020,"Brescia","Serie A","opponent",32,38,106,2,2,618,446,61,891,376,274,5,4,1,1945,602,498,54.7,"https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats"
2020,"Brest","Ligue 1","team",24,28,45,2,0,329,286,35,520,352,282,4,6,0,1464,405,477,45.9,"https://fbref.com/en/squads/fb08dbb3/2019-2020/Brest-Stats"
2020,"Brest","Ligue 1","opponent",24,28,40,1,1,308,303,39,609,330,284,4,5,2,1525,477,405,54.1,"https://fbref.com/en/squads/fb08dbb3/2019-2020/Brest-Stats"
2020,"Brighton","Premier League","team",25,38,59,2,1,386,325,71,689,419,379,2,2,2,2065,690,577,54.5,"https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats"
