"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2018,"Bournemouth","Premier League","team",22,38,NA,NA,1,339,411,52,707,367,324,2,3,1,1956,698,750,48.2,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Bournemouth","Premier League","opponent",22,38,73,1,1,439,323,122,806,555,500,3,3,0,2225,750,698,51.8,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Brighton","Premier League","team",24,38,NA,NA,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Brighton","Premier League","opponent",24,38,30,2,1,293,397,51,802,385,327,3,7,1,1981,777,796,49.4,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Burnley","Premier League","team",24,38,NA,NA,0,350,422,100,707,400,355,0,5,1,1875,912,967,48.5,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Burnley","Premier League","opponent",24,38,45,6,2,443,332,54,876,339,332,5,0,1,2065,967,912,51.5,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Caen","Ligue 1","team",26,38,68,4,0,523,433,76,971,476,478,5,5,4,2371,814,770,51.4,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Caen","Ligue 1","opponent",26,38,73,2,0,456,505,54,654,468,412,5,8,2,2270,770,814,48.6,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Cagliari","Serie A","team",29,38,NA,NA,4,611,458,84,732,431,447,5,12,1,1901,743,600,55.3,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Cagliari","Serie A","opponent",29,38,72,3,1,488,577,94,807,401,357,10,7,0,2010,600,743,44.7,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Celta Vigo","La Liga","team",23,38,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,51,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Celta Vigo","La Liga","opponent",23,38,97,1,0,572,399,73,669,495,426,4,3,2,2086,524,545,49,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Chelsea","Premier League","team",26,38,NA,NA,2,363,405,108,755,424,426,3,2,2,2233,602,506,54.3,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chelsea","Premier League","opponent",26,38,75,1,1,417,341,55,626,547,427,2,3,2,2062,506,602,45.7,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chievo","Serie A","team",25,38,NA,NA,1,478,460,102,801,444,367,2,7,4,1932,645,657,49.5,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Chievo","Serie A","opponent",25,38,57,6,4,475,449,76,853,400,339,4,2,0,2063,657,645,50.5,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Crotone","Serie A","team",29,38,NA,NA,1,501,466,88,635,578,440,2,8,0,2102,620,744,45.5,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crotone","Serie A","opponent",29,38,76,2,0,487,476,55,901,468,388,8,3,2,2221,744,620,54.5,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crystal Palace","Premier League","team",28,38,NA,NA,0,425,404,56,703,552,447,9,2,2,2156,752,708,51.5,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Crystal Palace","Premier League","opponent",28,38,72,3,2,414,409,76,792,409,447,2,10,1,2163,708,752,48.5,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Dijon","Ligue 1","team",26,38,69,5,1,492,471,73,567,544,462,5,14,3,2120,603,665,47.6,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dijon","Ligue 1","opponent",26,38,59,3,0,488,472,87,817,403,414,14,5,3,2289,665,603,52.4,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dortmund","Bundesliga","team",30,34,NA,NA,1,403,422,83,585,336,510,4,3,0,1472,580,516,52.9,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Dortmund","Bundesliga","opponent",30,34,57,3,1,438,392,117,542,446,513,3,6,2,1432,516,580,47.1,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Eibar","La Liga","team",27,38,84,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eibar","La Liga","opponent",27,38,78,6,4,470,456,156,473,510,435,3,3,1,2066,718,752,48.8,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eint Frankfurt","Bundesliga","team",28,34,NA,NA,0,526,453,85,586,409,483,2,3,2,1576,676,708,48.8,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Eint Frankfurt","Bundesliga","opponent",28,34,52,1,1,479,510,108,601,369,477,3,2,1,1596,708,676,51.2,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Espanyol","La Liga","team",25,38,87,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Espanyol","La Liga","opponent",25,38,113,3,2,555,495,80,715,433,443,4,3,3,2100,633,597,51.5,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Everton","Premier League","team",30,38,NA,NA,2,460,364,82,629,514,447,8,5,0,2046,760,852,47.1,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Everton","Premier League","opponent",30,38,49,5,3,383,444,59,802,408,374,3,8,2,2115,852,760,52.9,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Fiorentina","Serie A","team",27,38,NA,NA,3,551,428,82,823,489,497,6,3,0,2146,566,612,48,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Fiorentina","Serie A","opponent",27,38,98,8,2,457,527,69,705,423,448,2,8,1,2041,612,566,52,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Freiburg","Bundesliga","team",29,34,NA,NA,3,446,429,40,471,392,465,8,5,4,1292,707,771,47.8,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Freiburg","Bundesliga","opponent",29,34,52,0,0,455,431,68,696,359,473,4,10,0,1560,771,707,52.2,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Genoa","Serie A","team",33,38,NA,NA,0,555,474,86,769,394,395,5,4,2,2022,561,589,48.8,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Genoa","Serie A","opponent",33,38,72,6,1,497,530,34,717,394,388,1,5,2,2085,589,561,51.2,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Getafe","La Liga","team",32,38,130,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Getafe","La Liga","opponent",32,38,107,3,1,517,645,109,694,515,480,4,12,1,2160,730,541,57.4,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Girona","La Liga","team",25,38,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Girona","La Liga","opponent",25,38,112,3,1,520,589,129,614,396,439,5,8,0,1948,597,643,48.1,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Guingamp","Ligue 1","team",23,38,65,2,2,498,517,100,727,475,437,5,7,1,2026,610,635,49,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Guingamp","Ligue 1","opponent",23,38,76,6,1,539,469,101,703,481,455,4,7,2,1980,635,610,51,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Hamburger SV","Bundesliga","team",29,34,NA,NA,3,499,467,61,668,367,543,3,4,1,1631,678,778,46.6,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hamburger SV","Bundesliga","opponent",29,34,60,3,3,483,478,75,575,385,552,3,5,1,1533,778,678,53.4,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hannover 96","Bundesliga","team",26,34,NA,NA,0,487,503,53,579,382,490,5,4,0,1502,787,681,53.6,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
