"Season_End_Year","Squad","Comp","Age_Generales","Num_Players_Generales","Mn_per_Start_Starts_Generales","Mn_per_Sub_Subs_Generales","unSub_Subs_Generales","PPM_Team.Success_Generales","Fld_Generales","Fls_Generales","indiscipline_index_Generales","num_Aerial_Generales","Gls_Standard_Ataque","G_minus_xG_Expected_Ataque","Sh_per_90_Standard_Ataque","Acc_shot_Ataque","xG_per_SoT_Expected_Ataque","SCA90_SCA_Ataque","PassLive_GCA_Ataque","PassDead_GCA_Ataque","GCA90_SCA_Ataque","Sh_SCA_percent_Ataque","Fld_SCA_percent_Ataque","Def_SCA_percent_Ataque","Cmp_Total_Transiciones","Att_Short_percent_Transiciones","Att_Medium_percent_Transiciones","Att_Long_percent_Transiciones","Final_Third_percent_Transiciones","TB_Pass_Transiciones","Crs_Pass_Transiciones","Sw_Pass_Transiciones","In_Corner_percent_Transiciones","Out_Corner_percent_Transiciones","Str_Corner_percent_Transiciones","PrgDist_Carries_Transiciones","Att_Take_Transiciones","DefPen_Touches_percent_Transiciones","Def3rd_Touches_percent_Transiciones","Mid3rd_Touches_percent_Transiciones","Att3rd_Touches_percent_Transiciones","AttPen_Touches_percent_Transiciones","Tkl_Tackles_Defensa","Int_Defensa","Att_Challenges_Defensa","Blocks_Blocks_Defensa","Tkl_Tackles_Defensa.1","Def3rd_Tackles_percent_Defensa","Mid3rd_Tackles_percent_Defensa","Att3rd_Tackles_percent_Defensa","Num_Players_Porteria","GA90_Porteria","PSxG_per_SoT_Expected_Porteria","CS_percent_Porteria","Att_Launched_Porteria","Opp_Crosses_Porteria","AvgLen_Goal_Porteria","AvgLen_Passes_Porteria","CK_Goals_Porteria"
"2018","Alavés","La Liga",25.5,30,85,20,154,1.24,522,603,133,1210,40,1.5,10.24,0.344473007712082,0.287313432835821,17.5,52,4,0.106857142857143,0.0466165413533835,0.0917293233082707,0.0225563909774436,9696,0.382963390025944,0.336336119919285,0.217786105505909,0.0861179867986799,37,558,133,0.442028985507246,0.398550724637681,0.0434782608695652,24165,577,0.122136980209028,0.35134534133867,0.446186346453191,0.215643762508339,0.0311318656882366,702,498,663,407,702,0.518518518518518,0.377492877492877,0.103988603988604,2,1.32,0.25,31.6,786,657,56.7,43.4,7
"2018","Amiens","Ligue 1",27.5,30,85,20,155,1.18,459,504,98,1362,36,3.2,9.37,0.26685393258427,0.345263157894737,16.34,36,3,0.0936352509179927,0.037037037037037,0.0692431561996779,0.0112721417069243,11213,0.387352790578597,0.351702508960573,0.193100358422939,0.075358958351913,40,590,110,0.357142857142857,0.478571428571429,0,26943,610,0.121840343690678,0.349235687880907,0.481516635028474,0.182535717853931,0.0232790488560296,658,523,623,444,658,0.51063829787234,0.382978723404255,0.106382978723404,2,1.11,0.27,28.9,930,653,58.8,43.9,3
"2018","Angers","Ligue 1",27.1,27,84,22,153,1.08,436,492,86,1246,41,-6.6,12.05,0.329694323144105,0.31523178807947,21,43,8,0.0866666666666667,0.0614035087719298,0.068922305764411,0.0112781954887218,12795,0.418019289578923,0.34944718889673,0.1727240649259,0.0721375537319265,57,653,106,0.57396449704142,0.29585798816568,0,33954,607,0.0846555819477435,0.30104513064133,0.480570071258907,0.229643705463183,0.0293111638954869,661,410,766,402,661,0.529500756429652,0.363086232980333,0.107413010590015,3,1.37,0.26,15.8,625,538,56.3,38.6,3
"2018","Arsenal","Premier League",26.8,30,85,0,165,1.66,377,383,0,1290,73,4.7,15.5,0.378607809847199,0.30627802690583,28.39,95,8,0.121521662557238,0.0602409638554217,0.0491195551436515,0.00741427247451344,20878,0.434922399079109,0.393998332870242,0.115587663239789,0.0794137369479835,117,572,151,0.586666666666667,0.217777777777778,0.0177777777777778,50346,547,0.0755163658821107,0.257119330268304,0.465243944280519,0.284979070884512,0.0378782680299183,623,427,581,372,623,0.500802568218299,0.364365971107544,0.134831460674157,2,1.34,0.29,34.2,460,508,47.3,34.4,6
"2018","Atalanta","Serie A",25.7,25,82,0,313,1.58,465,490,9,1082,57,-7.1,15,0.336842105263158,0.333854166666667,26.71,67,6,0.0965930363159865,0.0758620689655172,0.0344827586206897,0.0137931034482759,16953,0.401961704524122,0.38042049934297,0.157217946311245,0.0810476021943019,30,751,288,0.391304347826087,0.495652173913044,0.0260869565217391,42846,704,0.0758998435054773,0.268974960876369,0.469170579029734,0.272143974960876,0.0395931142410016,725,476,650,430,725,0.460689655172414,0.431724137931034,0.107586206896552,3,1.03,0.32,28.9,464,487,52.4,34.5,4
"2018","Athletic Club","La Liga",26.7,26,85,22,160,1.13,487,528,93,1324,39,-10.7,11.08,0.33729216152019,0.35,19.5,45,4,0.0917948717948718,0.0553306342780027,0.0701754385964912,0.0215924426450742,13195,0.361133189508346,0.37362325422959,0.212614965368457,0.092004547176961,43,816,178,0.444444444444444,0.497354497354497,0.0105820105820106,33853,611,0.0985499214925649,0.295095594347465,0.475154705828023,0.241941442689572,0.0351436224254179,739,465,735,432,739,0.485791610284168,0.411366711772666,0.102841677943166,2,1.29,0.28,28.9,840,525,58.8,43.6,5
"2018","Atlético Madrid","La Liga",26.6,26,83,24,156,2.08,481,538,122,1093,57,6.8,10.55,0.366583541147132,0.341496598639456,18.45,70,2,0.148509485094851,0.0413694721825963,0.0641940085592011,0.0242510699001427,14484,0.444079655543595,0.32465016146394,0.164262648008611,0.0806407069870202,62,524,134,0.25748502994012,0.526946107784431,0.0239520958083832,34201,693,0.0916140274450011,0.305728599433675,0.465737312132433,0.23916358091919,0.0322369854062296,917,513,847,462,917,0.482006543075245,0.40567066521265,0.112322791712105,2,0.58,0.23,60.5,581,550,54.5,42.4,2
"2018","Augsburg","Bundesliga",26.6,27,85,0,143,1.21,411,490,3,1474,41,-3.7,12.65,0.327906976744186,0.317021276595745,21.97,45,6,0.0910332271279017,0.0642570281124498,0.0615796519410977,0.0240963855421687,10252,0.339354928017719,0.357281284606866,0.212763012181617,0.0811548966055404,9,757,101,0.373563218390805,0.551724137931034,0,25463,441,0.109327596668321,0.344365381433063,0.436041701141817,0.231176567929836,0.0348061117546472,723,400,603,400,723,0.499308437067773,0.40387275242047,0.0968188105117566,2,1.35,0.26,26.5,578,471,44.2,37.8,11
"2018","Barcelona","La Liga",27.7,25,84,21,155,2.45,520,383,75,629,96,12.5,15.13,0.459130434782609,0.316287878787879,27.24,121,5,0.164096916299559,0.0550724637681159,0.0685990338164251,0.0193236714975845,22147,0.469308469308469,0.348329448329448,0.117055167055167,0.0780241116178263,113,409,227,0.376744186046512,0.306976744186047,0.00465116279069767,53040,973,0.0760417377071541,0.250699038395963,0.483768669440087,0.274636841028439,0.0417377071540612,629,424,552,366,629,0.446740858505564,0.416534181240064,0.136724960254372,2,0.76,0.26,50,310,411,41.3,27.9,1
"2018","Bayern Munich","Bundesliga",27.4,28,85,0,134,2.47,413,366,0,966,90,14.2,17.5,0.379831932773109,0.335398230088496,32.5,134,7,0.152923076923077,0.0470588235294118,0.048868778280543,0.0117647058823529,20569,0.35569189951082,0.456678550700605,0.158320205621424,0.10122028295007,23,893,272,0.367713004484305,0.502242152466368,0.0134529147982063,42070,679,0.0649345890285463,0.239547070248085,0.487522444941185,0.280149510791894,0.0369746051522592,609,355,549,313,609,0.441707717569787,0.407224958949097,0.151067323481117,3,0.82,0.26,47.1,369,280,39.2,32.5,2
