"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Min_Playing.Time_Generales","Min_percent_Playing.Time_Generales","onxG_Team.Success..xG._Generales","onG_Team.Success_Generales","onxGA_Team.Success..xG_Generales","Compl_Starts_Generales","MP_Playing.Time_Generales","Mins_Per_90_Porteria","Att (GK)_Passes_Porteria","#OPA_per_90_Sweeper_Porteria","Stp_crosses_compose_index_Porteria","Save_compose_index_Porteria","PSxG_compose_index_Porteria","Launched_compose_index_Porteria","Save_penalty_compose_index_Porteria"
"2018","Chievo","Serie A","Stefano Sorrentino","ITA","GK",38,3420,100,34.1,36,55.2,38,38,38,799,0.37,16.2001114048166,369.692802575794,0.0230905861456483,258.539509493726,89.208042138065
"2018","Crotone","Serie A","Alex Cordaz","ITA","GK",34,3420,100,34.6,40,58.6,38,38,38,824,0.84,7.8475031467412,371.231343564135,-0.0361067503924647,232.599764803945,31.4203114559079
"2018","Crystal Palace","Premier League","Julián Speroni","ARG","GK",38,990,28.9,17.6,16,11.4,11,11,11,223,0.91,17.6180640709931,264.136436447495,-0.0526315789473684,197.303001240312,0
"2018","Crystal Palace","Premier League","Wayne Hennessey","WAL","GK",30,2430,71.1,35.9,29,36.8,27,27,27,554,0.81,43.1512599277781,332.364073078494,-0.0209424083769634,245.503987494097,0
"2018","Dijon","Ligue 1","Baptiste Reynet","FRA","GK",26,3420,100,41.6,55,63.8,38,38,38,1322,2.18,48.5077404457827,367.332124660163,-0.0416666666666667,284.041975177277,57.9522743035873
"2018","Dortmund","Bundesliga","Roman Bürki","SUI","GK",26,2969,97,63.6,60,41.1,32,33,33,1050,1.15,59.4384819643547,360.813119411684,0.0549450549450549,209.432305466315,0
"2018","Eibar","La Liga","Marko Dmitrović","SRB","GK",25,3240,94.7,39.1,40,41.9,36,36,36,942,2.69,36.1394628291833,307.563585066157,-0.029082774049217,255.307656055323,0
"2018","Eint Frankfurt","Bundesliga","Lukáš Hrádecký","FIN","GK",27,3060,100,42.2,45,41.7,34,34,34,1058,1.74,58.729806613808,331.583754456677,-0.0411622276029056,265.718097098602,0
"2018","Espanyol","La Liga","Diego López","ESP","GK",35,853,24.9,11.4,12,12.8,9,10,9.5,178,0.11,13.4741679843026,278.517905002823,0.158878504672897,169.405595190995,54.9306144334055
"2018","Espanyol","La Liga","Pau López","ESP","GK",22,2567,75.1,29.7,24,39.5,28,29,28.5,578,0.81,38.7031819458962,373.711483267198,0.150684931506849,223.674283968067,40.2359478108525
"2018","Everton","Premier League","Jordan Pickford","ENG","GK",23,3420,100,40.5,44,52.4,38,38,38,984,1.34,29.3641305204664,358.448359183596,-0.0338680926916221,233.661471604669,44.7939867307014
"2018","Fiorentina","Serie A","Marco Sportiello","ITA","GK",25,3202,93.6,52.6,51,37.4,35,37,35.6,773,0.65,38.0179329009582,354.003139387512,-0.0354223433242507,239.6627055729,46.1636022252924
"2018","Freiburg","Bundesliga","Alexander Schwolow","GER","GK",25,2906,95,38.3,28,44.6,32,33,32.3,1041,0.68,33.2462481346947,339.111935157124,-0.183574879227053,267.703615571282,0
"2018","Genoa","Serie A","Mattia Perin","ITA","GK",24,3330,97.4,42.5,33,41,37,37,37,919,0.68,27.6991704063344,395.570019209932,0.052132701421801,285.130153086968,0
"2018","Getafe","La Liga","Emiliano Martínez","ARG","GK",24,450,13.2,8.5,7,5.4,5,5,5,103,0.6,24.2972752991355,204.908087511093,-0.09375,186.130815087052,0
"2018","Getafe","La Liga","Vicente Guaita","ESP","GK",30,2970,86.8,39.7,35,34.3,33,33,33,710,1.03,27.1646588571685,365.68366252537,0.273743016759777,203.804312222219,69.3147180559945
"2018","Girona","La Liga","Gorka Iraizoz","ESP","GK",36,765,22.4,11.9,8,9.7,8,9,8.5,196,1.65,28.3186073734823,230.737654617966,0.172932330827068,198.146882811383,0
"2018","Girona","La Liga","Yassine Bounou","MAR","GK",26,2655,77.6,38.8,42,40.7,29,30,29.5,633,0.98,13.246251368569,344.926641098129,-0.0112359550561798,229.805068854908,0
"2018","Guingamp","Ligue 1","Karl-Johan Johnsson","SWE","GK",27,3420,100,45.5,48,49,38,38,38,867,0.55,30.9007489060453,352.08862221404,-0.148514851485149,274.191916927218,59.4720280920433
"2018","Hamburger SV","Bundesliga","Christian Mathenia","GER","GK",25,2160,70.6,24,18,40.3,24,24,24,506,0.75,34.8488549398827,288.466805700767,-0.00543478260869565,198.533186270046,0
"2018","Hamburger SV","Bundesliga","Julian Pollersbeck","GER","GK",22,900,29.4,13.7,11,15.6,10,10,10,480,1.5,66.4290497970855,263.628788842827,0.032258064516129,155.948920933661,46.1636022252924
"2018","Hannover 96","Bundesliga","Philipp Tschauner","GER","GK",31,2790,91.2,39.4,39,48.2,31,31,31,875,0.65,29.2925056777875,369.016225921633,-0.0688836104513064,277.584532412565,0
"2018","Hellas Verona","Serie A","Nícolas Andrade","BRA","GK",29,3240,94.7,32.4,29,65.9,35,36,36,1038,0.89,44.164214004458,393.32865241729,-0.0697674418604651,279.963816274398,54.9306144334055
"2018","Hertha BSC","Bundesliga","Rune Jarstein","NOR","GK",32,2790,91.2,36.2,41,39.2,31,31,31,882,0.48,47.6020537817181,356.805588096266,-0.201117318435754,249.511590493818,0
"2018","Hoffenheim","Bundesliga","Oliver Baumann","GER","GK",27,3060,100,50.5,66,47.2,34,34,34,1181,0.82,47.5541779798144,346.80653179923,-0.07981220657277,241.23264545795,40.2359478108525
"2018","Huddersfield","Premier League","Jonas Lössl","DEN","GK",28,3420,100,31.3,28,48.5,38,38,38,1083,1.45,39.0759737582839,333.533896506091,-0.102514506769826,274.456031756232,64.7988079635419
"2018","Inter","Serie A","Samir Handanović","SVN","GK",33,3420,100,56.7,66,37.2,38,38,38,808,0.61,23.3264605689613,363.049099921837,0.147540983606557,255.981301987752,0
"2018","Juventus","Serie A","Gianluigi Buffon","ITA","GK",39,1862,54.4,30.4,55,16.5,20,21,20.7,474,0.92,6.59167373200866,325.061321933898,0.314285714285714,231.329796369222,40.2359478108525
"2018","Juventus","Serie A","Wojciech Szczęsny","POL","GK",27,1530,44.7,23.7,31,10.6,17,17,17,361,0.76,29.5859408809327,256.366410139595,0.217391304347826,260.200178427348,35.8351893845611
"2018","Köln","Bundesliga","Timo Horn","GER","GK",24,3060,100,43.2,35,67.4,34,34,34,787,0.91,26.8178164757905,367.332124660163,-0.0526315789473684,267.950639997879,25.5586945322339
